variant,lambda_structure,lambda_relevance,lambda_support,n_queries,mean_anchor_overlap_with_default,mean_n_anchors,mean_anchor_S_trust,mean_anchor_query_rel,mean_anchor_internal_deg,mean_anchor_support_ratio
default,0.45,0.35,0.2,210,1.0,7.542857142857143,0.7649895738851097,0.402438741082513,0.5467089642857142,0.04850265325018897
equal,0.33,0.33,0.34,210,0.9904308390022676,7.542857142857143,0.7644239894179894,0.4027923746019861,0.542237116213152,0.04867461753590326
structure_heavy,0.6,0.25,0.15,210,0.9553741496598647,7.542857142857143,0.7668592156084658,0.40046588523342985,0.5675475311791384,0.048786367535903256
relevance_heavy,0.25,0.6,0.15,210,0.9744331065759638,7.542857142857143,0.763715720143613,0.4034932637895237,0.5334636740362813,0.04472897864701436
support_heavy,0.3,0.25,0.45,210,0.9958144368858655,7.542857142857143,0.764748683862434,0.4025013766448752,0.5454994310279666,0.049236786848072575
no_support,0.55,0.45,0.0,210,0.9912641723356009,7.542857142857143,0.7642569814814817,0.4029299487803451,0.5433972908163265,0.04553850245653817
